Borough,Neighborhood,Lat,Lng,ID,Name,Likes,Rating,Tips
Queens,Rego Park,40.72650660404446,-73.85308336045614,4bf92790b182c9b64778785a,Andre's Hungarian Bakery,12,7.4,9
Queens,Rego Park,40.725746464314504,-73.85938882827759,4e7e03e9108148acc635e065,Rokhat Kosher Bakery,4,7.0,4
Queens,Ozone Park,40.680206,-73.84526,57b78700498e1068fd3b6a0a,La Bonanza Bakery,0,0,0
Queens,College Point,40.78134891385922,-73.8459467157212,4c73daca4bc4236af1e8ce7a,Au Bon Pain,0,6.1,1
Queens,College Point,40.78127355366138,-73.84093284787492,54cd2b4e498e27d6209a172f,Bakery De Point,0,0,0
Queens,Bayside,40.76540402414712,-73.7718613465587,566e263c498e6356a9f22248,The French Workshop,102,9.1,24
Queens,Bayside,40.76342158931668,-73.77097077434549,4a972133f964a520982820e3,Martha's Country Bakery,303,9.1,104
Queens,Little Neck,40.76706443853265,-73.7384237354643,51ccbc60498eb28875eaf9ce,Koryodang Bakery & Cafe,7,6.8,1
Queens,Little Neck,40.77224142438055,-73.73422459738381,4c36177aae2da5937b95fcc5,Red Lotus Bakery And Cafe,3,6.6,6
Queens,Little Neck,40.766959,-73.738608,58d70f6513c223684a08c84b,Le Bbang,0,0,0
Queens,Douglaston,40.76706443853265,-73.7384237354643,51ccbc60498eb28875eaf9ce,Koryodang Bakery & Cafe,7,6.8,1
Queens,Glen Oaks,40.75061862211184,-73.71547608876992,50bf7bc8495e58eda3aca16c,Panera Bread,1,7.2,0
Queens,Queens Village,40.716799,-73.73527,4ecd057e93adb82fbc6a039b,Pates Plus Bakery,0,0,0
Queens,Hollis,40.71237516015064,-73.76442383298371,4e20ee09b0fbdf9ba7a52206,Avenue Z Desserts,0,0,0
Queens,South Jamaica,40.70057060984784,-73.78886841398413,4c1e31d5fcf8c9b61ad6ac0b,Wonder Bread,0,0,0
Queens,Cambria Heights,40.692256572185975,-73.72969927346051,4cdc56f7c409b60c69f1d91a,Tiffany's West Indian Bakery,0,0,0
Queens,Steinway,40.773923671332845,-73.90755541772256,49c68da1f964a5205b571fe3,Martha's Country Bakery,463,9.2,159
Queens,Bay Terrace,40.77988541107938,-73.77575755119324,4ac3a1a9f964a5201f9c20e3,Panera Bread,116,8.0,50
Queens,Murray Hill,40.76351698968787,-73.80917270293376,4c7ec19101df37047e3ce4ac,Paris Baguette,49,7.3,24
Queens,Queensboro Hill,40.74571425282124,-73.8259117918444,4b65cec8f964a520fe002be3,Yeh's Bakery 紅葉,31,8.3,9
Queens,Queensboro Hill,40.743241166321226,-73.82572613193412,4bd18796462cb713734eda07,Tea Shop 168 & Bakery,25,8.0,12
Queens,Lindenwood,40.66311725469125,-73.85415356209955,4c5060002a73c9285d4869d2,La Torre Bakery,0,0,0
Queens,Lefrak City,40.732813,-73.863335,4dbf345afa8cc78a860cbc44,Panera Bread,135,8.5,52
Queens,Lefrak City,40.738306,-73.865005,4ca7c31ca6e08cfa85408894,Best Taste Bakery,0,0,0
Queens,Belle Harbor,40.57832759678173,-73.84935544127949,4b65d144f964a520ae012be3,Ciro's Pastry,4,6.8,6
Queens,North Corona,40.75776161011041,-73.85989068541006,523f920611d26ef616737c7c,mi casita bakery & restaurant,0,0,0
Queens,North Corona,40.751381751606,-73.85313131436446,4c83c433dc018cfac038db6c,Beky Bakery,0,0,0
Queens,Forest Hills Gardens,40.717103617695436,-73.8405707302451,4bb0fa35f964a5208d6f3ce3,Bonelle Pastry Shop,20,8.6,13
Queens,Forest Hills Gardens,40.718199821536025,-73.8407061863382,4f32391f19836c91c7c24a46,Michaels Bagels,9,6.7,4
Queens,Forest Hills Gardens,40.718828915623554,-73.84139494140518,56d22cedcd1004ac34362cc7,Violets Bakery,9,6.3,4
Staten Island,Rosebank,40.614347,-74.066437,4f321df019836c91c7b79e65,Rispoli Pastry Shop,0,0,0
Staten Island,New Dorp,40.57330904848907,-74.11506337218066,4f1ee4b5e4b01dbd1eef8d79,Piece A Cake,56,8.2,25
Staten Island,Eltingville,40.54503688560972,-74.1608523375123,4dfb7c9d52b145696e36ea1a,Alfonso's Pastry Shop,14,7.8,2
Staten Island,Woodrow,40.5427354995785,-74.20666326003705,4cafa11f39458cfa2505fc9f,La Dolce Bakery & Pastry Shoppe,6,7.0,2
Brooklyn,Wingate,40.66420580050088,-73.93994591979582,51338b7be4b0b7da6575c098,Matzah bakery,0,0,0
Staten Island,Grasmere,40.59865725699913,-74.07993922300867,4d13c6941356a0930b60c382,Buono Bakery,8,7.1,3
Staten Island,Old Town,40.59564749922971,-74.08576326774498,4b6c648bf964a5205d362ce3,Royal Crown Bakery,175,9.2,55
Staten Island,Pleasant Plains,40.523312,-74.216123,4e10a6b0a809291902afb275,La Dolce Bakery & Pastry Shoppe,0,0,0
Staten Island,Charleston,40.5264137,-74.230862,4bf80e544a67c928c3a324cf,Panera Bread,47,7.9,12
Manhattan,Carnegie Hill,40.77938181580607,-73.95355942978318,53e4c5b2498ea330eb3c8083,Maison Kayser,176,8.5,48
